Expt,MCstrain,Prey,Light,Fed,Rep,ExptDay,MeanCells,CountVol,CF,CellCount,ChlExtr,ChlVol,ChlpmL,ChlpCell,lnCells,Mu,Timestamp,Fv.Fm,Fm,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
,Ctrl,SM,50,NA,A,6,56.33,0.3,0.60,113433.03,62.4826,2.00,156.21,1.377,11.639,0.441,53809,0.351,117226,-40.08468454,0.226197482,1.23E-30,1.802473171,0.045787302,6.47E-19,-22.23871356,39.20095652
,Ctrl,SM,50,NA,A,8,49.67,0.3,0.60,100014.92,56.3722,2,140.93,1.409,11.513,0.310,67098,0.346,6855,-46.87705662,0.53984799,4.58E-25,1.783920662,0.088007985,7.64E-14,-26.27754564,44.83666541
,Ctrl,SM,50,NA,A,10,50.00,0.3,0.60,100686.16,54.121,2,135.30,1.344,11.520,0.231,54180,0.335,6702,-28.07656302,0.764000075,2.20E-18,2.041962321,0.293192943,1.66E-06,-13.74979486,28.03761189
,Ctrl,SM,50,NA,A,12,49.50,0.3,0.60,99679.30,54.5632,2,136.41,1.368,11.510,0.179,51796,0.288,8230,-34.28801781,0.97843781,5.11E-18,2.586272596,0.395586425,3.82E-06,-13.25769676,34.25169738
,Ctrl,SM,50,NA,A,14,51.20,0.3,0.60,103102.63,90.234,4,112.79,1.094,11.543,0.145,63361,0.295,10771,-29.66626791,0.795236683,1.68E-18,2.303888628,0.335366924,2.00E-06,-12.87660677,29.64112771
,Ctrl,SM,50,NA,B,0,172.67,20.0,1.00,8633.33,28.3796,4,35.47,4.109,9.063,,65433,0.467,23151,158.3148051,1.631534952,6.22E-26,1.410082933,0.017467438,1.70E-24,112.2733999,66.18543055
,Ctrl,SM,50,NA,B,1,314.50,20.0,1.00,15725.00,56.4794,4,70.60,4.490,9.663,0.600,64866,0.472,53136,178.2855877,1.508117068,1.79E-27,1.561925656,0.0154674,3.04E-26,114.1447334,73.45701094
,Ctrl,SM,50,NA,B,2,42.83,1.0,1.00,42833.33,112.9738,4,141.22,3.297,10.665,0.801,65816,0.478,125199,165.5535264,1.763412542,1.13E-25,1.516348428,0.020289642,6.77E-24,109.17908,70.92688937
,Ctrl,SM,50,NA,B,4,48.17,0.3,0.60,96994.34,164.8452,4,206.06,2.124,11.482,0.616,50679,0.458,12799,61.80710632,0.664003265,1.31E-25,1.450125282,0.053660467,5.06E-16,42.62190798,51.0072547
,Ctrl,SM,50,NA,B,6,52.17,0.3,0.60,105049.23,64.5462,2,161.37,1.536,11.562,0.429,54291,0.361,118287,-42.18149984,0.240989318,1.54E-30,1.625788541,0.039950742,3.58E-19,-25.94525596,40.43101634
,Ctrl,SM,50,NA,B,8,46.83,0.3,0.60,94309.37,54.9116,2,137.28,1.456,11.454,0.301,67650,0.337,6467,-39.5208849,0.487182613,1.55E-24,2.045151731,0.118125344,1.14E-12,-19.32418231,39.07626157
,Ctrl,SM,50,NA,B,10,55.33,0.3,0.60,111426.02,54.5632,2,136.41,1.224,11.621,0.236,54619,0.349,6808,-31.51401531,0.60985327,5.03E-21,1.930539914,0.184608182,4.47E-09,-16.32393876,31.37657643
,Ctrl,SM,50,NA,B,12,64.17,0.3,0.60,129213.91,54.8312,2,137.08,1.061,11.769,0.196,52237,0.33,6594,-29.31076801,0.701386478,2.23E-19,2.091220565,0.26194207,2.52E-07,-14.01610547,29.26408355
,Ctrl,SM,50,NA,B,14,54.83,0.3,0.60,110419.16,101.088,4,126.36,1.144,11.612,0.158,63846,0.305,12132,-29.02657605,0.874550601,1.34E-17,2.326351713,0.386167978,1.07E-05,-12.47729476,29.00738919
,Ctrl,SM,50,NA,C,0,168.00,20.0,1.00,8400.00,29.1836,4,36.48,4.343,9.036,,66021,0.465,23620,155.2045038,1.818723622,6.25E-25,1.402957259,0.020229258,2.59E-23,110.62668,65.73181436
